Date,Open,High,Low,Close,Adj Close,Volume
2015-09-01,19.990000,19.990000,19.990000,19.990000,17.834528,0
2015-09-02,20.320000,20.320000,20.320000,20.320000,18.128942,0
2015-09-03,20.360001,20.360001,20.360001,20.360001,18.164633,0
2015-09-04,20.059999,20.059999,20.059999,20.059999,17.896982,0
2015-09-08,20.540001,20.540001,20.540001,20.540001,18.325226,0
2015-09-09,20.250000,20.250000,20.250000,20.250000,18.066492,0
2015-09-10,20.280001,20.280001,20.280001,20.280001,18.093260,0
2015-09-11,20.370001,20.370001,20.370001,20.370001,18.173553,0
2015-09-14,20.260000,20.260000,20.260000,20.260000,18.075417,0
2015-09-15,20.510000,20.510000,20.510000,20.510000,18.298458,0
2015-09-16,20.660000,20.660000,20.660000,20.660000,18.432285,0
2015-09-17,20.629999,20.629999,20.629999,20.629999,18.405519,0
2015-09-18,20.290001,20.290001,20.290001,20.290001,18.102180,0
2015-09-21,20.420000,20.420000,20.420000,20.420000,18.218164,0
2015-09-22,20.059999,20.059999,20.059999,20.059999,18.003662,0
2015-09-23,20.000000,20.000000,20.000000,20.000000,17.949816,0
2015-09-24,19.950001,19.950001,19.950001,19.950001,17.904936,0
2015-09-25,20.010000,20.010000,20.010000,20.010000,17.958790,0
2015-09-28,19.650000,19.650000,19.650000,19.650000,17.635693,0
2015-09-29,19.730000,19.730000,19.730000,19.730000,17.707491,0
2015-09-30,20.010000,20.010000,20.010000,20.010000,17.958790,0
2015-10-01,20.000000,20.000000,20.000000,20.000000,17.949816,0
2015-10-02,20.290001,20.290001,20.290001,20.290001,18.210085,0
2015-10-05,20.660000,20.660000,20.660000,20.660000,18.542158,0
2015-10-06,20.549999,20.549999,20.549999,20.549999,18.443434,0
2015-10-07,20.700001,20.700001,20.700001,20.700001,18.578058,0
2015-10-08,20.959999,20.959999,20.959999,20.959999,18.811399,0
2015-10-09,20.990000,20.990000,20.990000,20.990000,18.838329,0
2015-10-12,21.020000,21.020000,21.020000,21.020000,18.865255,0
2015-10-13,20.850000,20.850000,20.850000,20.850000,18.712681,0
2015-10-14,20.680000,20.680000,20.680000,20.680000,18.560102,0
2015-10-15,20.889999,20.889999,20.889999,20.889999,18.748579,0
