timestamp,open,high,low,close,adjusted close,volume,dividend amount
2013-08-02,107.2600,107.3400,106.4000,106.8500,88.3904,4488300,0.2046
2013-07-26,107.5300,107.6900,106.9500,107.2600,88.5595,3831800,0.0000
2013-07-19,106.9200,107.5500,106.8300,107.5200,88.7742,3177000,0.0000
2013-07-12,106.1100,107.1400,106.1100,106.8100,88.1880,4745400,0.0000
2013-07-05,106.9200,107.3074,105.8200,105.8400,87.3871,3506200,0.1976
2013-06-28,106.0100,107.3500,105.8200,107.2100,88.3553,8961800,0.0000
2013-06-21,108.8500,108.9400,106.5300,106.6100,87.8608,8774600,0.0000
2013-06-14,108.3500,109.0000,108.0000,108.7800,89.6492,5980300,0.0000
2013-06-07,108.7900,109.0900,108.5400,108.6100,89.5091,6731400,0.1952
2013-05-31,109.7700,109.7800,108.8800,109.1100,89.7604,5370000,0.0000
2013-05-24,110.3200,110.4800,109.8000,109.8800,90.3938,5584100,0.0000
2013-05-17,110.3500,110.5800,110.1000,110.3100,90.7476,5072200,0.0000
2013-05-10,110.9400,111.0000,110.3501,110.4800,90.8874,3611500,0.0000
2013-05-03,111.4900,111.6800,110.9400,110.9900,91.3070,5919300,0.2016
2013-04-26,111.2700,111.5300,111.2100,111.4900,91.5526,4132800,0.0000
2013-04-19,111.1600,111.4400,111.1300,111.2400,91.3473,4720600,0.0000
2013-04-12,111.1500,111.2300,110.7700,111.2000,91.3145,5506300,0.0000
2013-04-05,110.4400,111.2600,110.3900,111.2000,91.3145,5994000,0.2603
2013-03-28,110.4000,110.7800,110.3100,110.7300,90.7150,5317900,0.0000
2013-03-22,110.3600,110.6100,110.2800,110.4100,90.4528,5294200,0.0000
2013-03-15,109.8400,110.2500,109.8200,110.2100,90.2890,5708900,0.0000
2013-03-08,110.6500,110.6600,109.7800,109.8200,89.9695,5614600,0.0000
2013-03-01,110.2899,110.8400,110.2000,110.6600,90.6576,4791800,0.2095
2013-02-22,110.2600,110.3700,110.0300,110.3100,90.2001,5205500,0.0000
2013-02-15,110.2500,110.2500,109.9400,110.2500,90.1511,5549700,0.0000
2013-02-08,110.0900,110.3400,110.0200,110.2800,90.1756,5770200,0.0000
2013-02-01,110.2800,110.4900,109.9200,109.9400,89.8976,6577400,0.2115
2013-01-25,110.7500,111.0100,110.4900,110.5700,90.2392,4390400,0.0000
2013-01-18,110.9400,111.1000,110.7100,110.9300,90.5330,6599000,0.0000
2013-01-11,110.7900,110.9100,110.6200,110.8500,90.4677,7234500,0.0000
2013-01-04,111.2500,111.2600,110.5500,110.7900,90.4187,5092400,0.0000
2012-12-28,111.0900,111.3000,110.9600,111.2800,90.8186,2922900,0.2303
2012-12-21,111.3500,111.3600,110.7400,111.1200,90.5004,6085900,0.0000
2012-12-14,111.6400,111.7100,111.1400,111.3500,90.6877,5994700,0.0000
2012-12-07,111.4500,111.8400,111.3600,111.6600,90.9402,3705600,0.6665
2012-11-30,112.0200,112.3200,111.9500,112.2500,90.8780,3230500,0.0000
2012-11-23,112.0900,112.2900,111.8800,111.9600,90.6432,2964900,0.0000
